Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3),Anatomical Label
12,-40.0,-58.0,56.0,3.0902323722839355,8480,"Lateral Occipital Cortex, superior division"
7,20.0,-32.0,76.0,3.0902323722839355,6544,Postcentral Gyrus
11,18.0,0.0,38.0,3.0902323722839355,2072,Right Cerebral White Matter
13,40.0,-50.0,38.0,3.0902323722839355,1992,Angular Gyrus
15,44.0,30.0,30.0,3.0902323722839355,1952,Middle Frontal Gyrus
5,-26.0,32.0,4.0,3.0902323722839355,1432,Left Cerebral White Matter
18,0.0,-92.0,-12.0,2.878161668777466,960,Occipital Pole
22,-60.0,-54.0,-20.0,2.6520698070526123,864,"Inferior Temporal Gyrus, temporooccipital part"
28,36.0,-20.0,-12.0,2.5121443271636963,544,Right Hippocampus
24,-12.0,-36.0,16.0,2.6520698070526123,448,Left Cerebral White Matter
