Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3)
PositiveTail 1,-14.0,-62.0,28.0,2.8781617,39480
PositiveTail 2,-40.0,22.0,18.0,2.8781617,28464
PositiveTail 3,-26.0,-24.0,-14.0,2.8781617,15288
PositiveTail 4,-10.0,-2.0,6.0,2.8781617,4752
PositiveTail 5,-4.0,36.0,32.0,2.8781617,16200
PositiveTail 6,26.0,-22.0,-16.0,2.8781617,10608
PositiveTail 7,42.0,-66.0,34.0,2.8781617,7504
PositiveTail 8,34.0,24.0,-4.0,1.5892675,2584
PositiveTail 9,-58.0,-42.0,-6.0,1.3786588,2352
PositiveTail 10,10.0,10.0,2.0,1.1552209,2144
PositiveTail 11,-58.0,-8.0,-20.0,0.61281294,1760
