,id,PositiveTail 1,PositiveTail 2,PositiveTail 3,PositiveTail 4,PositiveTail 5,PositiveTail 6,PositiveTail 7,PositiveTail 8,PositiveTail 9,PositiveTail 10,PositiveTail 11
0,10388802-1,6,9,0,0,3,1,1,2,0,0,0
1,10666559-1,0,3,0,0,0,0,1,0,0,0,0
2,11353732-1,5,0,6,0,4,3,2,0,0,0,1
3,11683908-1,0,3,0,0,0,0,0,0,0,0,0
4,12821520-1,17,0,2,0,0,3,0,0,0,0,0
5,15219608-1,5,3,0,0,3,0,0,0,0,0,0
6,15537676-1,0,3,3,0,1,2,0,0,0,0,0
7,15546700-1,3,5,0,0,2,0,3,1,0,0,0
8,15704151-1,0,0,1,0,0,0,0,0,0,0,0
9,15721179-1,2,1,2,0,2,3,0,0,0,0,0
10,15728761-1,2,5,1,1,0,0,0,0,0,0,0
11,15772360-1,5,3,2,0,3,1,1,0,0,1,0
12,15869492-1,3,1,4,2,1,3,1,0,0,0,1
13,15919215-1,6,0,6,0,1,6,0,0,0,0,2
14,16027012-1,13,22,7,3,3,2,2,3,1,1,1
15,16290017-1,4,3,4,2,0,0,1,0,0,0,0
16,16480749-1,1,3,1,1,3,0,2,0,0,0,0
17,16492377-1,2,3,2,1,1,1,1,0,0,0,0
18,16513369-1,3,3,0,1,0,1,1,0,1,0,0
19,16525800-1,4,1,0,0,1,0,1,2,0,0,0
20,16837057-1,2,1,0,0,1,1,0,0,0,0,1
21,16919479-1,11,8,3,2,9,0,1,4,0,2,0
22,16930636-1,2,4,1,0,0,0,0,0,0,0,0
23,17088375-1,4,1,0,0,0,0,1,0,0,0,0
24,17150375-1,0,0,0,0,0,1,0,0,0,0,0
25,17204822-1,3,1,1,0,4,0,1,0,0,0,1
26,17204823-1,7,0,6,0,0,4,0,0,0,0,0
27,17449068-1,2,4,1,0,0,1,0,0,0,1,0
28,17631361-1,10,15,5,0,9,0,4,2,4,0,0
29,17644222-1,0,0,0,0,0,0,0,0,0,0,0
30,17651006-1,4,11,0,1,15,0,0,1,0,1,1
31,17711573-1,8,10,2,0,4,1,7,3,0,0,0
32,18160644-1,13,2,6,0,3,8,4,0,0,0,2
33,18165281-1,5,1,1,0,2,0,1,0,0,0,1
34,18274617-1,4,1,3,1,0,3,0,0,0,0,0
35,18321871-1,0,2,0,0,2,0,0,0,0,0,0
36,18420234-1,1,4,9,2,1,7,0,1,0,1,0
37,18455740-1,1,0,1,0,1,2,0,0,0,0,0
38,18619985-1,4,4,0,0,1,2,0,0,0,0,0
39,18649352-1,3,5,0,1,1,0,0,0,0,1,0
40,18820289-1,0,3,0,0,1,0,0,0,0,0,0
41,19038275-1,5,3,0,0,2,0,0,0,0,0,0
42,19058792-1,0,4,0,0,0,0,2,0,0,0,0
43,19110014-1,8,5,2,1,2,2,1,3,0,1,0
44,19146963-1,4,8,2,4,4,0,2,2,0,0,2
45,19240137-1,1,6,0,1,7,0,1,0,0,0,0
46,19272364-1,8,2,2,1,1,0,1,1,0,1,0
47,19279244-1,14,3,12,1,5,0,0,0,0,0,0
48,19285142-1,14,6,0,2,6,0,2,2,0,2,0
49,19301994-1,6,3,1,1,1,2,0,1,0,0,0
50,19383503-1,6,2,2,2,4,4,2,0,0,0,0
51,19400677-1,7,4,0,1,3,0,1,0,0,0,0
52,19413478-1,1,0,0,0,0,0,0,0,0,0,0
53,19428683-1,2,0,2,0,1,0,1,0,0,0,0
54,19505443-1,0,0,0,0,0,1,0,0,0,0,0
55,19524090-1,8,8,5,0,0,2,3,0,4,0,0
56,19524092-1,11,1,6,0,1,3,4,0,0,0,0
57,19559070-1,0,5,0,0,0,0,0,0,0,0,0
58,19647800-1,7,3,0,0,3,0,2,1,0,0,0
59,19674742-1,0,3,0,0,2,0,0,0,0,0,0
60,19720072-1,5,1,5,0,2,8,0,0,0,0,1
61,19733581-1,0,0,1,0,0,1,0,0,0,0,0
62,19744566-1,3,1,1,0,1,0,0,0,1,1,0
63,19786107-1,0,0,5,0,0,4,0,0,0,0,0
64,19835893-1,4,1,2,0,1,1,1,0,0,0,0
65,19895564-1,10,0,1,0,0,0,0,0,0,0,0
66,20007242-1,2,0,0,0,1,0,1,0,0,0,1
67,20060480-1,1,5,0,2,4,0,1,1,1,3,0
68,20097295-1,7,5,2,0,3,1,1,0,0,1,0
69,20123026-1,9,3,0,0,4,1,3,0,1,1,1
70,20147540-1,2,0,4,0,1,3,0,0,0,0,0
71,20226767-1,0,2,0,0,0,0,0,1,0,0,0
72,20232398-1,0,0,2,0,0,3,0,0,0,0,0
73,20350180-1,1,1,0,0,1,1,0,1,0,0,0
74,20363808-1,4,2,2,1,1,1,0,0,0,0,0
75,20399796-1,8,1,4,1,1,2,3,1,1,0,0
76,20631183-1,0,0,5,0,0,2,0,0,0,0,0
77,20637787-1,3,3,1,0,0,1,0,2,0,0,0
78,20740073-1,0,0,1,0,0,0,0,0,0,0,0
79,20832483-1,0,0,0,0,0,0,0,0,0,0,0
80,20974213-1,1,0,0,0,0,0,0,0,0,0,0
81,21316476-1,61,13,3,1,14,6,2,0,8,1,0
82,21455941-1,3,4,0,0,3,0,2,0,0,0,0
83,21549721-1,6,1,1,0,1,0,2,0,0,0,0
