term,r
retrieval,0.1587410518015028
memory,0.15219986650296063
episodic,0.14199017643466974
memory retrieval,0.11135063743997355
network,0.10936031545071706
medial,0.10418298271240803
hippocampus,0.10288463613055543
autobiographical,0.10111080156778526
episodic memory,0.10091622422236061
processes,0.09906203543565112
encoding,0.09247316413542749
medial temporal,0.09089530149895984
networks,0.09063227798091131
engaged,0.08910834680465306
semantic,0.0879703196441849
prefrontal,0.08793532211294773
task,0.0867401739922269
default,0.08211209406561766
recollection,0.07817333758577068
memories,0.07459635497265986
