Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3),Anatomical Label
3,6.0,-58.0,-44.0,3.2905266284942627,26600,Unlabelled / white matter
1,-58.0,-8.0,-14.0,3.2905266284942627,9888,"Middle Temporal Gyrus, anterior division"
9,62.0,-12.0,0.0,3.2905266284942627,7072,Right Cerebral White Matter
6,-16.0,44.0,-20.0,3.2905266284942627,5552,Frontal Pole
12,24.0,-74.0,-28.0,3.2905266284942627,4968,Unlabelled / white matter
4,52.0,-64.0,28.0,3.2905266284942627,3688,"Lateral Occipital Cortex, superior division"
2,-20.0,14.0,60.0,3.2905266284942627,2176,Superior Frontal Gyrus
10,-56.0,-62.0,24.0,3.2905266284942627,2152,"Lateral Occipital Cortex, superior division"
7,-30.0,-68.0,-24.0,3.2905266284942627,1648,Left Cerebral Cortex (near peak)
18,42.0,-58.0,-28.0,2.878161668777466,1544,Right Cerebral Cortex (near peak)
