,id,PositiveTail 1,PositiveTail 2,PositiveTail 3,PositiveTail 4,PositiveTail 5,PositiveTail 6,PositiveTail 7
0,10388802-1,7,14,1,1,3,0,2
1,10666559-1,3,4,1,3,2,0,0
2,11353732-1,11,5,3,2,0,0,0
3,11422456-1,14,12,0,0,0,3,3
4,11502262-1,0,13,0,0,0,0,2
5,11576194-1,2,10,0,1,0,0,1
6,11683908-1,0,4,0,0,0,0,0
7,11698132-1,10,15,0,0,0,0,5
8,12139956-1,3,1,0,0,0,0,0
9,12183389-1,5,6,2,0,0,0,0
10,12194878-1,0,1,0,0,0,0,0
11,12208009-1,1,0,0,0,0,0,0
12,12417678-1,3,5,2,1,0,0,0
13,12417679-1,3,9,1,0,1,1,0
14,12457763-1,10,6,2,1,1,2,1
15,12566286-1,2,0,0,0,0,0,0
16,12713652-1,0,4,0,0,1,0,3
17,12725759-1,5,9,0,0,0,0,0
18,12773617-1,1,0,0,0,1,0,0
19,12805116-1,39,14,9,1,0,0,0
20,12821520-1,20,0,5,0,0,0,0
21,13679414-1,0,0,0,0,0,0,0
22,14615072-1,5,9,4,2,1,2,0
23,14683699-1,5,6,0,0,0,0,0
24,14689505-1,4,7,2,0,1,2,3
25,15050583-1,2,0,1,0,1,1,0
26,15064407-1,2,2,0,1,0,1,0
27,15157428-1,4,2,1,1,0,0,0
28,15193617-1,18,5,2,0,0,0,0
29,15219608-1,6,7,0,0,0,1,0
30,15528098-1,0,6,0,0,0,0,2
31,15537676-1,3,5,2,0,1,0,0
32,15546700-1,6,9,1,4,2,0,1
33,15670688-1,12,7,0,3,2,0,0
34,15670690-1,1,2,0,0,0,0,1
35,15689557-1,9,5,0,0,0,0,0
36,15704151-1,1,0,0,0,0,0,0
37,15721179-1,4,3,3,0,0,0,0
38,15728742-1,0,8,0,0,0,0,0
39,15728761-1,5,7,0,1,0,1,0
40,15769488-1,7,1,0,0,0,0,1
41,15772360-1,7,5,1,2,0,0,0
42,15784424-1,3,0,0,0,0,0,0
43,15811551-1,2,7,0,0,2,0,2
44,15817169-1,16,11,10,1,5,0,0
45,15850739-1,10,7,0,0,1,0,5
46,15854792-1,5,2,0,0,0,0,0
47,15869492-1,11,2,5,3,2,2,0
48,15919215-1,7,1,4,1,0,0,0
49,15953711-1,6,6,2,0,0,0,0
50,15955491-1,2,1,0,1,0,0,0
51,15955493-1,1,2,3,0,0,0,0
52,15961050-1,5,4,0,0,0,0,1
53,15982902-1,8,13,1,0,0,2,0
54,16027012-1,27,27,3,6,2,4,5
55,16049191-1,0,1,0,0,0,0,0
56,16079408-1,3,5,1,0,0,0,0
57,16084739-1,8,4,3,1,1,0,1
58,16168731-1,11,4,1,1,0,0,0
59,16242350-1,1,2,0,0,0,0,0
60,16242924-1,1,0,0,0,0,0,0
61,16257547-1,0,0,0,0,0,0,0
62,16290017-1,8,8,0,2,0,2,0
63,16414279-1,1,4,3,2,1,0,0
64,16480749-1,3,7,0,2,0,1,0
65,16492377-1,5,6,1,1,0,2,0
66,16513147-1,7,15,0,4,0,1,2
67,16513369-1,3,3,1,1,1,1,0
68,16525800-1,4,3,0,1,0,0,2
69,16624583-1,10,13,3,2,5,0,2
70,16740379-1,2,2,0,0,0,0,0
71,16757006-1,0,1,2,0,0,0,0
72,16759672-1,1,3,0,1,0,0,0
73,16769093-1,4,9,1,1,0,0,0
74,16837057-1,5,1,2,0,1,0,0
75,16899645-1,4,0,1,0,0,0,0
76,16919479-1,15,23,1,2,0,2,4
77,16930636-1,5,6,0,0,0,0,0
78,16959412-1,5,6,0,0,0,2,0
79,17008145-1,6,5,5,0,0,3,0
80,17088375-1,6,1,1,2,0,0,0
81,17150375-1,1,0,1,0,0,0,0
82,17204820-1,13,21,1,1,0,0,0
83,17204822-1,8,4,0,0,1,0,0
84,17204823-1,15,1,6,0,0,0,1
85,17449068-1,4,6,1,1,0,1,0
86,17572110-1,26,15,3,3,1,0,7
87,17631361-1,30,25,0,8,6,1,2
88,17644222-1,0,0,0,0,0,0,0
89,17651006-1,4,32,0,0,0,1,3
90,17689983-1,2,0,0,0,0,0,0
91,17711573-1,13,17,2,9,2,0,3
92,17881109-1,7,3,0,2,0,0,0
93,17905481-1,8,5,1,0,0,0,0
94,17948885-1,4,1,2,2,0,2,1
95,18155254-1,0,3,0,0,0,0,0
96,18160644-1,20,7,8,4,0,0,0
97,18165281-1,7,3,0,1,0,0,0
98,18165283-1,2,0,0,0,0,0,0
99,18184572-1,3,4,0,1,0,0,1
100,18243736-1,6,2,0,1,0,0,0
101,18274617-1,7,1,4,0,0,1,0
102,18279361-1,2,6,0,0,0,0,1
103,18294660-1,5,6,1,1,0,2,1
104,18321871-1,1,6,0,0,0,0,1
105,18322013-1,3,2,1,0,0,0,0
106,18420234-1,11,5,7,0,0,3,1
107,18455740-1,3,1,2,0,0,0,0
108,18471837-1,42,2,0,9,0,0,0
109,18510447-1,10,13,6,2,0,0,0
110,18564040-1,3,7,1,0,0,0,0
111,18588987-1,1,5,1,1,1,0,1
112,18614265-1,2,2,0,1,0,0,0
113,18619668-1,4,4,0,0,0,0,0
114,18619985-1,8,4,2,1,0,0,2
115,18649352-1,3,7,0,1,0,1,0
116,18675364-1,5,0,1,0,1,1,0
117,18760691-1,8,0,2,2,0,0,0
118,18786512-1,0,1,0,0,0,0,0
119,18820289-1,1,4,0,0,0,0,0
120,18823239-1,15,7,9,2,3,0,0
121,18823245-1,4,8,0,0,0,0,0
122,18973817-1,16,10,2,3,0,2,0
123,19038275-1,6,7,0,0,1,0,0
124,19058792-1,2,6,0,2,0,0,2
125,19074015-1,7,7,0,3,0,1,0
126,19084220-1,6,5,0,0,0,0,0
127,19110014-1,12,7,2,1,3,1,3
128,19146963-1,5,7,1,1,1,1,1
129,19176280-1,11,9,0,1,1,1,2
130,19199424-1,0,0,0,0,0,0,0
131,19240137-1,2,14,0,1,1,2,0
132,19272364-1,12,6,1,2,0,1,1
