term,r
retrieval,0.14052413049567888
memory,0.1385043740000174
episodic,0.11759292555890564
task,0.10463798832619021
network,0.1031964383309327
processes,0.10133361101927219
memory retrieval,0.09427525526346449
engaged,0.09210660465706666
tasks,0.08879188562120707
encoding,0.08873561697778434
prefrontal,0.08726724351115872
semantic,0.08559902102801789
medial,0.08363485292052375
episodic memory,0.0827828280695945
networks,0.08086368363451246
autobiographical,0.07724147377461324
hippocampus,0.07688404842617419
medial temporal,0.07501475333946682
parietal,0.07412116221734204
frontal,0.06962340798009796
